#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
152,Justin Verlander,SFG,5,5,4.1,15,15,0,0,,84,359,79,42,38,12,26,,4,74
153,Bryan Abreu,HOU,2,2,3.2,45,0,1,9,,45,189,34,17,16,5,20,,2,57
154,Tony Gonsolin,LAD,2,2,4.35,15,15,0,0,,84,366,78,44,41,14,32,,4,81
155,Sean Burke,CHW,3,5,4.69,17,17,0,0,,85,376,80,48,44,12,42,,4,78
156,Yu Darvish,SDP,3,3,3.98,9,9,0,0,,52,218,47,25,23,7,16,,2,49
157,Félix Bautista,BAL,2,2,3.03,38,0,17,2,,38,153,26,14,13,4,17,,2,49
158,Shohei Ohtani,LAD,3,2,3.62,7,7,0,0,,40,163,32,17,16,5,14,,3,45
159,Erick Fedde,STL,6,7,4.54,18,18,0,0,,101,436,101,56,51,14,36,,5,79
160,Jonathan Cannon,CHW,3,4,4.79,13,13,0,0,,72,315,75,42,38,10,25,,3,55
161,Will Vest,DET,2,2,3.28,40,0,9,6,,40,169,35,16,15,4,14,,2,42
162,Matt Brash,SEA,2,2,2.97,39,0,1,8,,39,162,30,14,13,3,16,,2,47
163,Patrick Corbin,TEX,4,6,4.84,14,14,0,0,,79,343,83,47,43,12,26,,4,62
164,Cade Povich,BAL,2,2,4.39,13,13,0,0,,66,282,62,35,32,9,26,,3,62
165,Graham Ashcraft,CIN,2,2,3.21,37,0,3,7,,37,160,32,15,13,4,13,,2,39
166,Kyle Harrison,SFG,2,2,3.75,33,8,0,0,,69,296,61,32,29,9,26,,3,76
167,Bailey Falter,PIT,3,3,4.6,22,17,0,0,,94,403,95,52,48,14,29,,4,69
168,Garrett Whitlock,BOS,2,2,3.49,41,0,1,10,,41,167,36,17,16,4,12,,2,44
169,Abner Uribe,MIL,2,2,2.83,38,0,4,6,,38,162,27,13,12,3,20,,2,49
170,Jon Gray,TEX,3,4,4.35,22,7,0,0,,56,236,54,29,27,7,17,,2,51
171,Kutter Crawford,BOS,4,4,4.33,29,7,0,0,,66,277,63,34,32,10,18,,3,64
172,Jack Kochanowicz,LAA,3,4,4.85,18,14,0,0,,82,360,88,48,44,11,29,,4,53
173,Slade Cecconi,CLE,2,2,4.26,22,9,0,0,,62,260,61,32,29,9,15,,3,53
174,Matt Strahm,PHI,2,2,3.4,41,0,5,6,,41,163,32,17,15,5,11,,2,46
175,Griffin Canning,NYM,2,2,4.28,24,12,0,0,,77,334,73,40,37,10,29,,4,70
176,Jose Quintana,MIL,5,6,4.61,16,16,0,0,,92,402,93,51,47,13,34,,4,72
177,Logan Allen,CLE,5,6,4.66,15,15,0,0,,79,343,79,44,41,11,31,,4,66
178,Orion Kerkering,PHI,2,2,3.14,38,0,3,8,,38,156,30,14,13,4,13,,2,43
179,Colton Gordon,HOU,1,1,4.44,29,11,0,0,,80,340,78,43,39,13,23,,3,70
180,Jeremiah Estrada,SDP,2,2,3.11,40,0,1,9,,40,163,28,15,14,4,17,,2,54
181,Gabe Speier,SEA,2,2,2.95,38,0,1,10,,38,158,30,14,13,4,13,,2,45
182,David Bednar,PIT,2,2,3.46,40,0,16,3,,40,169,34,17,15,5,15,,2,45
183,Reid Detmers,LAA,2,1,3.94,39,5,0,5,,61,256,54,29,27,8,22,,3,67
184,Trevor Megill,MIL,2,2,3.24,39,0,14,3,,39,164,30,15,14,4,17,,2,48
185,Mitchell Parker,WSN,4,5,4.76,25,17,0,0,,99,428,98,57,52,14,38,,5,78
186,Quinn Priester,MIL,3,3,4.1,27,6,0,0,,62,258,58,31,28,7,21,,3,51
187,Raisel Iglesias,ATL,2,2,3.54,43,0,18,2,,43,176,37,18,17,5,12,,2,46
188,Spencer Arrighetti,HOU,3,4,4.33,10,10,0,0,,53,228,47,28,25,8,23,,3,54
189,Camilo Doval,SFG,2,2,3.14,39,0,18,3,,39,163,31,15,14,3,18,,2,45
190,Yennier Cano,BAL,2,2,3.39,40,0,1,10,,40,167,35,17,15,3,14,,2,41
191,Mark Leiter Jr.,NYY,2,2,3.41,39,0,2,10,,39,165,32,16,15,4,15,,2,46
192,Luis Garcia,HOU,3,3,3.94,14,6,0,0,,41,172,38,19,18,6,13,,1,41
193,Pete Fairbanks,TBR,2,2,3.24,39,0,17,3,,39,163,31,15,14,4,16,,2,43
194,Robert Garcia,TEX,2,2,3.53,37,0,12,4,,37,154,31,16,15,4,14,,2,41
195,Yimi García,TOR,2,2,3.23,33,0,1,7,,33,135,26,13,12,4,12,,1,37
196,Gunnar Hoglund,ATH,1,1,4.93,17,12,0,0,,77,318,77,46,42,12,24,,3,55
197,Chris Martin,TEX,2,1,3.3,30,0,2,7,,30,120,26,12,11,3,7,,1,31
