#,Name,Team,GS,G,IP,W,L,QS,SV,HLD,H,ER,HR,SO,BB,K/9,BB/9,K/BB,HR/9,AVG,WHIP,BABIP,LOB%,ERA,FIP,ADP
2608,Moises Valero,,0,1,1,0,0,0,0,0,1,1,0,1,0,7.9,4.18,1.89,1.5,0.258,1.62,0.288,74.40%,4.85,5.13,999
2609,Carlos Arroyo,ATL,0,1,0.2,0,0,0,0,0,1,0,0,1,0,11.18,6.21,1.8,1.95,0.251,2.1,0.287,83.70%,4.91,5.78,999
2610,Hector Perez,,0,1,1.1,0,0,0,0,0,1,1,0,1,1,9.18,5.59,1.64,1.12,0.229,1.5,0.281,72.70%,4.41,4.77,999
2611,Tyler Stasiowski,MIN,0,1,1.1,0,0,0,0,0,1,1,0,1,1,6.55,3.87,1.69,1.26,0.256,1.33,0.287,63.00%,5.08,4.95,999
2612,Mitchell Stumpo,ARI,0,1,1,0,0,0,0,0,1,1,0,1,1,8.19,5.43,1.51,1.15,0.253,1.63,0.298,71.60%,4.87,4.98,999
2613,Tyler Heineman,TOR,0,1,1,0,0,0,0,0,1,1,0,1,0,5.18,2.56,2.02,1.5,0.282,1.32,0.297,58.90%,5.6,5.15,747.4
2614,Ryan Rolison,COL,0,1,1.2,0,0,0,0,0,2,1,0,1,1,5.63,3.35,1.68,1.32,0.284,1.48,0.307,64.00%,5.48,5.08,999
2615,Patricio Aquino,MIL,1,1,4,0,0,0,0,0,4,3,1,2,2,4.68,3.76,1.25,1.41,0.27,1.43,0.278,62.20%,5.57,5.56,999
2616,Alec Barger,COL,0,1,1.1,0,0,0,0,0,1,1,0,1,1,6.47,4.6,1.41,1.28,0.279,1.6,0.311,65.40%,5.63,5.27,999
2617,Ben Madison,,0,1,1.2,0,0,0,0,0,1,1,0,2,1,9.31,6.09,1.53,0.92,0.231,1.54,0.292,72.30%,4.37,4.63,999
2618,Indigo Diaz,NYY,0,1,1,0,0,0,0,0,1,1,0,1,1,7.88,4.71,1.67,1.47,0.237,1.4,0.268,68.10%,4.97,5.26,999
2619,Ryan Shreve,STL,0,1,1.2,0,0,0,0,0,2,1,0,1,1,5.95,3.48,1.71,1.11,0.269,1.43,0.297,66.70%,4.89,4.75,999
2620,Michael Bienlien,,0,1,1.2,0,0,0,0,0,2,1,0,1,1,7.09,4.39,1.62,1.1,0.25,1.46,0.286,69.50%,4.64,4.8,999
2621,Dustin Saenz,WSN,1,1,4.1,0,0,0,0,0,5,3,1,2,2,3.7,3.31,1.12,1.37,0.29,1.51,0.293,61.70%,5.83,5.56,999
2622,Carson Ragsdale,SFG,0,28,28,1,1,0,0,1,25,13,3,28,13,8.88,4.04,2.2,1.08,0.237,1.36,0.289,71.90%,4.14,4.25,999
2623,Patrick Halligan,ATL,0,1,2,0,0,0,0,0,2,1,0,2,1,7.6,4,1.9,1.18,0.247,1.39,0.285,69.50%,4.54,4.66,999
2624,Owen Griffith,,0,1,1.1,0,0,0,0,0,1,1,0,1,1,6.94,3.98,1.74,1.26,0.26,1.5,0.29,70.10%,4.83,4.92,999
2625,Coleman Huntley III,,0,1,1.2,0,0,0,0,0,2,1,0,1,1,7.02,3.96,1.77,1.1,0.264,1.48,0.302,68.80%,4.79,4.67,999
2626,Ray Gaither,HOU,0,1,1.1,0,0,0,0,0,1,1,0,1,1,7.72,4.69,1.65,1.17,0.249,1.49,0.288,70.10%,4.72,4.86,999
2627,Tyler Cleveland,SEA,1,1,3.2,0,0,0,0,0,4,2,1,2,2,5.84,3.74,1.56,1.45,0.249,1.36,0.263,66.20%,5.02,5.36,999
2628,Jace Vines,,0,1,1.1,0,0,0,0,0,1,1,0,1,1,7.24,4.69,1.54,1.3,0.26,1.61,0.291,71.20%,4.99,5.16,999
2629,Anthony Vilar,SDP,0,1,0.2,0,0,0,0,0,1,0,0,1,0,6.51,4.1,1.59,1.54,0.261,1.51,0.28,68.40%,5.28,5.47,999
